"index","importance","stddev","p_value","n","p99_high","p99_low"
"day","0.2610867479643275","0","0","1","0","0"
"ades_elevation_x","0.25428131504986595","0","0","1","0","0"
"initclimb_median_gs","0.25029377174223555","0","0","1","0","0"
"noise_sensitive_departure","0.24738793710639584","0","0","1","0","0"
"ades_vsby","0.23786079423234696","0","0","1","0","0"
"reynolds_factor","0.19650371072430062","0","0","1","0","0"
"is_monday_morning","0.1959427219007921","0","0","1","0","0"
"ades_skyl3","0.17573131773133355","0","0","1","0","0"
"is_friday_evening","0.16905580456477765","0","0","1","0","0"
"runway_adep_he_displaced_threshold_ft","0.16172337546140625","0","0","1","0","0"
"openap_ceiling","0.15924661341841784","0","0","1","0","0"
"initclimb_max_alt","0.15676275400028317","0","0","1","0","0"
"connection_pax_likely","0.15032720566796343","0","0","1","0","0"
"ades_wxcodes","0.1305928965489329","0","0","1","0","0"
"lowest_ceiling","0.12919858189025035","0","0","1","0","0"
"openap_bpr","0.12561079267698005","0","0","1","0","0"
"adep_elevation","0.12254481814079554","0","0","1","0","0"
"runway_adep_he_elevation_ft","0.09668828824078446","0","0","1","0","0"
"openap_fuel_ch","0.09453701228312639","0","0","1","0","0"
"wind_variation","0.09355492956001399","0","0","1","0","0"
"available_cargo_weight","0.07967768478192738","0","0","1","0","0"
"initclimb_mean_climb","0.0778043569143847","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Imports_y","0.06717021616532293","0","0","1","0","0"
"quarter","0.06211314412439606","0","0","1","0","0"
"runway_adep_length_ft","0.0587832623336908","0","0","1","0","0"
"initclimb_median_climb","0.051777828148715344","0","0","1","0","0"
"max_headwind","0.04964213035418652","0","0","1","0","0"
"stats_PAS_PAS_TRF_TOTAL_x","0.04898517367837485","0","0","1","0","0"
"openap_engine.number","0.048865697658584395","0","0","1","0","0"
"meal_service_expected","0.03276368583738076","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Transfers and recycled products_x","0.02979483641593106","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Consumption not elsewhere specified (other)_y","0.02878046156683922","0","0","1","0","0"
"cruise_speed_std","0.028733823610309628","0","0","1","0","0"
"openap_cruise_thrust","0.023878825469637377","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - International aviation bunkers_y","0.021906646504248783","0","0","1","0","0"
"lowest_cruise_speed","0.018117740956768102","0","0","1","0","0"
"openap_ei_nox_co","0.012523080599748937","0","0","1","0","0"
"ades_ice_accretion_1hr","0.01186090195142242","0","0","1","0","0"
"highest_cruise_speed","0.0022213431211639545","0","0","1","0","0"
"ades_local_arrival_time","0","0","0","1","0","0"
"visibility_severity","0","0","0","1","0","0"
"wind_severity","0","0","0","1","0","0"
"has_cruise_trajectory","0","0","0","1","0","0"
"has_critical_crosswind","0","0","0","1","0","0"
"wind_variability","0","0","0","1","0","0"
"adep_local_offblock_time","0","0","0","1","0","0"
"is_low_ceiling","0","0","0","1","0","0"
"speed_consistency","0","0","0","1","0","0"
"is_weekend_getaway","0","0","0","1","0","0"
"crosswind_component","0","0","0","1","0","0"
"openap_cruise_alt","0","0","0","1","0","0"
"openap_engine.type","0","0","0","1","0","0"
"std_headwind","0","0","0","1","0","0"
"approach_severity","0","0","0","1","0","0"
"is_low_visibility","0","0","0","1","0","0"
"has_significant_gusts","0","0","0","1","0","0"
"weather_fuel_factor","0","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Consumption not elsewhere specified (other)_x","0","0","0","1","0","0"
"adep_type","0","0","0","1","0","0"
"weather_severity","0","0","0","1","0","0"
"total_weather_risks","0","0","0","1","0","0"
"technical_stop_likely","0","0","0","1","0","0"
"icing_conditions_likely","0","0","0","1","0","0"
"has_landing_trajectory","-0.011398915040899738","0","0","1","0","0"
"elevation_change","-0.013271148445710423","0","0","1","0","0"
"total_seat_ratio","-0.04367503924322591","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Total energy supply_y","-0.06381229304406588","0","0","1","0","0"
"ades_lon_x","-0.06498265096024625","0","0","1","0","0"
"openap_cruise_sfc","-0.07712152530575622","0","0","1","0","0"
"ades_type","-0.07752831784409864","0","0","1","0","0"
"openap_type","-0.09040904706262154","0","0","1","0","0"
"visibility_meters","-0.11037479440210518","0","0","1","0","0"
"is_financial_route","-0.1361107457023536","0","0","1","0","0"
"origin_destination_size","-0.13645264148090064","0","0","1","0","0"
"elevation_factor","-0.14131199044913956","0","0","1","0","0"
"openap_engine.mount","-0.1458481387289794","0","0","1","0","0"
"taxiout_time","-0.1706584470280177","0","0","1","0","0"
"runway_adep_le_elevation_ft","-0.17980097774079695","0","0","1","0","0"
"Quantity_Kerosene-type Jet Fuel - Production_x","-0.18233841474284418","0","0","1","0","0"
